Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
Courtenay,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,022",5,[x],[x]
Courtney,"3,990",4,"3,334",5,"3,013",6,"3,959",4,[x],[x],"3,079",6,[x],[x],"2,690",7,"2,403",8,"2,458",8,"2,390",8,"2,941",6,"1,981",10,"2,507",7,"2,023",9,"2,087",8,"1,534",12,"1,280",14,"1,248",13,907,19,786,22,848,19,973,15,554,33,399,56,247,116
Cove,"2,125",10,"2,404",8,"2,266",9,"2,445",8,"3,996",4,[x],[x],[x],[x],"4,632",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Covey,[x],[x],"4,608",3,[x],[x],[x],[x],[x],[x],"4,810",3,[x],[x],[x],[x],"3,822",4,"4,805",3,"4,647",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cowan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,805",3,[x],[x],[x],[x],"4,527",3,[x],[x],[x],[x],[x],[x],"3,849",3,[x],[x],"3,467",3,"3,225",3,[x],[x],"2,501",4,[x],[x],[x],[x],[x],[x],[x],[x]
Cowen,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,632",3,[x],[x],[x],[x],[x],[x],"3,865",4,[x],[x],"3,158",5,[x],[x],"4,052",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Craig,"1,688",14,"1,492",16,"1,217",21,"1,786",13,"1,124",25,"1,157",24,821,38,670,50,771,41,577,62,557,63,503,70,408,94,444,82,381,95,330,106,243,143,222,166,187,207,158,250,127,338,121,363,122,383,107,484,91,575,81,705
Craig-Junior,[x],[x],[x],[x],"3,937",4,"4,749",3,[x],[x],"4,810",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,678",3,[x],[x],"4,432",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Crawford,[x],[x],[x],[x],[x],[x],"4,749",3,[x],[x],[x],[x],"3,908",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,527",3,[x],[x],"4,333",3,"3,385",4,[x],[x],[x],[x],[x],[x],"2,254",5,[x],[x],"2,142",5,"2,097",5,[x],[x],[x],[x],[x],[x]
Cree,"1,023",28,"2,960",6,[x],[x],[x],[x],"3,996",4,[x],[x],"3,373",5,"3,895",4,"3,822",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,651",3,[x],[x],"3,225",3,"3,134",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
