Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
Curtis-Lee,[x],[x],[x],[x],"3,411",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,589",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,036",3,[x],[x],"2,901",3,[x],[x],"2,863",3
Curtiss,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,863",3
Curtly,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,901",3,[x],[x],[x],[x]
Cuthbert,"4,789",3,[x],[x],[x],[x],"4,749",3,[x],[x],[x],[x],"3,373",5,[x],[x],"3,822",4,"4,805",3,[x],[x],[x],[x],[x],[x],[x],[x],"3,589",4,[x],[x],[x],[x],[x],[x],"3,467",3,[x],[x],[x],[x],"3,036",3,[x],[x],[x],[x],"2,859",3,[x],[x]
Cy,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,632",3,[x],[x],[x],[x],"4,647",3,"4,678",3,"3,227",5,"3,687",4,"2,211",8,"2,538",6,"2,754",5,"2,070",7,"2,857",4,"2,254",5,"1,467",9,"1,330",10,"2,097",5,"1,367",9,"2,859",3,"1,337",9
Cyan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,908",4,[x],[x],[x],[x],"4,805",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cybi,[x],[x],[x],[x],"4,702",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cyle,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,385",4,"2,174",7,"2,304",6,"2,470",5,"1,411",10,"3,134",3,"2,501",4,"2,425",4,"1,642",7,[x],[x],"2,863",3
Cynan,[x],[x],"2,682",7,"3,937",4,"2,693",7,"3,040",6,"4,023",4,"2,707",7,"2,459",8,"2,954",6,"2,117",10,"2,892",6,"2,036",10,"2,544",7,"1,953",10,"4,333",3,"1,744",10,"2,174",7,"2,070",7,"1,771",8,"2,254",5,"3,134",3,"3,036",3,"2,943",3,[x],[x],"2,859",3,"2,863",3
Cyprian,[x],[x],"4,608",3,[x],[x],"3,412",5,"2,172",10,"3,478",5,"2,483",8,"1,819",12,"1,706",13,"1,756",13,"1,398",17,"1,724",13,"1,265",19,"1,953",10,"2,211",8,"1,545",12,"3,849",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
